"iid","is_male","age","field_of_study","field_of_study_category","undergrad_sch","median_SAT_of_undergrad_sch","tuition_of_undergrad_sch","race","importance_of_race","importance_of_religion","from","median_income_of_zipcode","income","goal_of_participating","freq_of_going_on_dates","freq_of_going_out","intended_career","intended_career_category","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","expectation_of_happiness_of_matches","expected_num_of_people_interested_in_me_out_of_twenty"
203,FALSE,22,"Mathematics","Math","","","","European/Causasian-American",4,10,"Vestal","13,850","42,640.00","Other","Several times a year","Twice a week","college professor","Academic/Research",3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,3,NA
204,FALSE,26,"business","Business/Econ/Finance","","","","European/Causasian-American",8,6,"Texas & Boston","77,095","52,388.00","To get a date","Once a month","Several times a week","marketing / brand management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,5,9,9,10,10,3,1,9,8,4,5,5,3,8,10,7,4,NA
205,FALSE,23,"climate change","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",5,5,"England","0","","Seemed like a fun night out","Almost never","Several times a week","academic","Academic/Research",8,2,6,8,6,6,7,2,6,9,3,3,8,5,6,3,5,5,NA
206,FALSE,31,"Public Administration","Business/Econ/Finance","","","","Black/African American",2,2,"Cameroon","","","Seemed like a fun night out","Once a month","Several times a week","UN Civil Servant","International/Humanitarian Affairs",5,5,5,9,7,7,7,7,9,9,5,7,7,7,9,5,7,6,NA
207,FALSE,23,"MA Biotechnology","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",9,5,"New Jersey","7,719","","Seemed like a fun night out","Once a week","Several times a week","IP Law","Lawyer",10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,6,NA
208,FALSE,25,"MA Biotechnology","Biological Sciences/Chemistry/Physics","","","","Black/African American",2,1,"PA","18,929","62,875.00","To meet new people","Twice a month","Once a week","Biotech/business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,7,7,9,10,10,10,5,8,8,5,7,9,10,10,9,8,5,NA
209,FALSE,28,"International Affairs/Business","Political Science/International Affairs","","","","Black/African American",7,3,"New York","12,601","30,855.00","To get a date","Several times a year","Twice a week","Country Analysis/Research/Credit Analysis","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",3,2,6,8,5,5,6,8,8,3,6,7,8,7,10,3,3,7,NA
210,FALSE,29,"Ecology","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",10,4,"Atlanta","30,345","46,800.00","To meet new people","Several times a year","Once a week","scientific research","Academic/Research",9,3,9,8,9,9,9,1,2,9,5,7,7,7,7,5,1,5,NA
211,FALSE,28,"International Affairs","Political Science/International Affairs","","","","European/Causasian-American",9,1,"Bulgaria","0","","To meet new people","Twice a month","Several times a week","Humanitarian Affairs/Human Rights","International/Humanitarian Affairs",9,8,9,10,9,9,5,8,1,9,9,10,10,9,7,10,7,5,NA
212,FALSE,27,"Master in Public Administration","Business/Econ/Finance","","","","Latino/Hispanic American",3,6,"New York City","11,364","45,695.00","Seemed like a fun night out","Once a month","Twice a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,5,NA
213,FALSE,25,"International Affairs","Political Science/International Affairs","","","","Latino/Hispanic American",9,10,"New York Area/ New Jersey","7,410","","To meet new people","Twice a month","Twice a week","International Business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,7,9,8,8,7,6,7,7,8,7,10,10,8,9,8,5,7,NA
214,TRUE,23,"Computational Biochemsistry","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",6,8,"Philadelphia","19,046","46,792.00","Seemed like a fun night out","Several times a year","Twice a week","Research Scientist","Academic/Research",9,3,10,8,6,7,7,4,7,3,1,9,6,4,6,7,1,6,NA
215,TRUE,26,"MBA","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",3,1,"Baltimore","21,093","53,501.00","Seemed like a fun night out","Twice a month","Several times a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,6,9,9,6,4,2,7,6,9,5,2,9,2,7,9,2,7,NA
216,TRUE,27,"MBA","Business/Econ/Finance","","","","European/Causasian-American",7,1,"San Francisco","10,021","55,080.00","To meet new people","Once a month","Once a week","Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",2,1,2,7,7,5,3,5,1,13,6,6,7,6,5,2,1,6,NA
217,TRUE,26,"Neurobiology","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",8,1,"Houston","77,024","64,716.00","To say I did it","Twice a month","Twice a week","Academic Physician","Academic/Research",1,2,8,7,8,8,10,1,2,10,4,8,6,10,10,1,7,3,NA
218,TRUE,24,"Physics","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",9,5,"Russia/Germany","80,798","","Seemed like a fun night out","Twice a month","Twice a week","Researcher","Academic/Research",9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,3,NA
219,TRUE,26,"Business","Business/Econ/Finance","","","","European/Causasian-American",1,1,"Spain","8,025","","Seemed like a fun night out","Once a week","Twice a week","Business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,2,7,7,7,8,3,3,6,7,2,6,7,7,10,3,10,7,NA
220,TRUE,25,"International Affairs","Political Science/International Affairs","","","","Other",1,1,"DC","","","Seemed like a fun night out","Once a month","Twice a week","Poet, Writer, Singer, Policy Maker with the UN and/or Indian Govt.","Creative Arts/Entertainment",9,9,5,10,9,10,10,6,8,10,2,5,5,5,9,5,5,10,NA
221,TRUE,27,"Business (MBA)","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",6,1,"India","100,063","","To meet new people","Several times a year","Once a week","Investment Banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,6,3,7,6,3,4,3,7,8,7,8,8,4,4,4,1,6,NA
222,TRUE,27,"Mathematics, PhD","Math","","","","European/Causasian-American",8,3,"Germany","","","To meet new people","Several times a year","Once a week","Professor or Consultant","Academic/Research",5,1,6,8,10,9,6,4,7,9,1,9,9,10,8,3,1,3,NA
223,TRUE,28,"History (GSAS - PhD)","History/Religion/Philosophy","","","","European/Causasian-American",6,6,"Wash DC (4 yrs)","29,501","27,248.00","To meet new people","Twice a month","Twice a week","History Professor","Academic/Research",8,7,6,6,8,7,6,7,8,9,6,5,10,6,7,5,2,7,NA
224,TRUE,32,"Psychology","Social Science, Psychologist","","","","European/Causasian-American",1,3,"Sweden","11,531","","Other","Almost never","Twice a month","Hero","Other",6,4,4,7,5,5,5,6,8,10,1,8,9,2,4,1,8,5,NA
225,TRUE,28,"MBA","Business/Econ/Finance","","","","Latino/Hispanic American",4,9,"Colombia","","","Seemed like a fun night out","Almost never","Twice a week","Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,8,3,8,8,8,7,3,9,8,8,9,7,9,9,2,6,4,NA
226,TRUE,23,"International Business","Business/Econ/Finance","","","","European/Causasian-American",1,3,"Pittsburgh","15,211","22,805.00","To meet new people","Once a week","Several times a week","Entertainment/Sports","Creative Arts/Entertainment",10,7,8,6,7,7,3,2,8,4,5,6,7,4,9,2,4,3,NA
227,TRUE,26,"Finance","Business/Econ/Finance","","","","European/Causasian-American",7,7,"New York","11,596","56,118.00","To meet new people","Several times a year","Once a week","corporate finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,7,7,10,9,7,2,6,5,10,8,8,9,5,7,5,1,5,NA
228,TRUE,24,"Physics","Biological Sciences/Chemistry/Physics","","","","Asian/Pacific Islander/Asian-American",1,4,"Germany","","","To get a date","Almost never","Once a week","professor","Academic/Research",3,1,2,8,4,5,8,4,6,9,2,4,7,8,9,2,8,7,NA
229,TRUE,28,"biomedicine","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",7,1,"New York","11,354","30,146.00","Seemed like a fun night out","Several times a year","Once a week","CEO in For Profit Biomedical Organization","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,5,7,7,1,1,5,3,3,8,5,1,5,2,6,1,1,3,NA
230,TRUE,42,"International Affairs","Political Science/International Affairs","","","","European/Causasian-American",5,1,"Detroit, Michigan, USA","48,127","39,123.00","To meet new people","Almost never","Once a week","consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",1,1,2,1,10,10,10,1,1,10,10,10,10,5,10,10,6,5,NA
231,TRUE,30,"International Affairs","Political Science/International Affairs","","","","Latino/Hispanic American",1,1,"Los Angeles, CA","92,024","46,153.00","Seemed like a fun night out","Several times a year","Once a week","International affairs related career","International/Humanitarian Affairs",5,2,7,9,9,6,8,1,9,9,1,8,9,9,10,1,7,5,NA
232,TRUE,31,"International Affairs","Political Science/International Affairs","","","","European/Causasian-American",4,7,"Washington, DC","10,471","45,300.00","To meet new people","Once a month","Twice a month","public service","International/Humanitarian Affairs",5,5,9,8,7,8,9,3,8,7,4,6,8,7,7,3,5,4,NA
233,TRUE,29,"Master of International Affairs","Political Science/International Affairs","","","","Asian/Pacific Islander/Asian-American",1,1,"J.P. Morgan","10,017","42,397.00","Seemed like a fun night out","Once a week","Twice a week","banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,9,8,10,8,8,7,9,8,5,10,8,10,10,10,8,6,7,NA
234,FALSE,22,"Sociology and Education","Social Science, Psychologist","George Mason University","1,070.00","12,696.00","Other",1,5,"Virginia","23,060","44,346.00","To get a date","Almost never","Once a week","Educational Policy","Academic/Research",5,3,10,10,9,5,2,1,4,9,5,6,5,5,9,7,4,5,NA
235,FALSE,23,"elementary education","Education, Academia","Holy Cross","1,258.00","25,020.00","European/Causasian-American",3,1,"Boston, MA","1,890","","Seemed like a fun night out","Twice a month","Once a week","elementary school teacher","Academic/Research",1,3,3,10,9,10,2,1,7,7,1,9,9,6,10,10,7,5,NA
236,FALSE,24,"Biology","Biological Sciences/Chemistry/Physics","University of Pennsylvania","1,400.00","26,630.00","Asian/Pacific Islander/Asian-American",3,3,"Indiana","46,815","42,225.00","To meet new people","Almost never","Several times a week","Research/Teaching","Academic/Research",9,6,3,7,9,9,7,1,8,7,5,4,7,4,10,4,2,7,NA
237,FALSE,34,"American Studies","History/Religion/Philosophy","UCLA","1,290.00","15,309.00","European/Causasian-American",10,1,"lOS aNGELES","91,206","37,405.00","To get a date","Almost never","Twice a month","WRITING","Creative Arts/Entertainment",1,1,10,7,8,9,9,1,1,10,6,8,6,2,9,2,10,4,NA
238,FALSE,27,"Arts Administration","Fine Arts/Arts Administration","Swarthmore College","1,460.00","26,376.00","European/Causasian-American",3,5,"Wisconsin","54,449","28,524.00","Seemed like a fun night out","Twice a week","Several times a week","manage a museum or art gallery","Creative Arts/Entertainment",8,5,8,8,10,10,8,2,8,7,5,9,9,10,10,7,6,5,NA
239,FALSE,34,"Conservation biology","Biological Sciences/Chemistry/Physics","Columbia College","1,430.00","26,908.00","European/Causasian-American",6,6,"Born in Montana, raised in South Jersey (nr. Philadelphia)","8,028","","To meet new people","Several times a year","Once a week","Conservation training and education","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",3,3,5,8,8,7,8,1,6,9,6,8,8,6,7,1,8,7,NA
240,FALSE,26,"MBA","Business/Econ/Finance","SUNY Binghamton","1,215.00","9,451.00","Asian/Pacific Islander/Asian-American",1,1,"New York","10,598","61,141.00","Seemed like a fun night out","Several times a year","Once a week","Entertainment/Media","Creative Arts/Entertainment",10,10,9,10,10,8,9,14,9,10,10,10,10,10,10,10,3,2,NA
241,FALSE,29,"Business","Business/Econ/Finance","Barnard College","1,330.00","24,036.00","Asian/Pacific Islander/Asian-American",1,1,"New York","10,454","8,607.00","To meet new people","Twice a month","Twice a week","president","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,1,5,7,7,7,4,1,3,4,1,3,4,6,7,6,3,2,NA
242,FALSE,26,"sociology","Social Science, Psychologist","school of social sciences in uruguay","","","Latino/Hispanic American",3,3,"uruguay","12,000","","To get a date","Almost never","Once a week","researcher in sociology","Academic/Research",6,5,5,8,10,10,9,4,9,10,1,9,10,10,10,1,8,6,NA
243,TRUE,27,"Japanese Literature","Languages","Yale University","1,450.00","26,100.00","European/Causasian-American",2,3,"Portland, Oregon","","","To meet new people","Several times a year","Twice a week","Professor","Academic/Research",7,2,7,9,5,8,5,7,3,9,5,5,9,8,8,6,2,6,NA
244,TRUE,28,"MBA","Business/Econ/Finance","University of Washington","1,155.00","13,258.00","European/Causasian-American",8,9,"Seattle","","","To meet new people","Once a month","Once a week","Management Consultant","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,2,10,8,6,4,9,1,3,13,9,8,9,3,4,3,1,5,NA
245,TRUE,32,"Philosophy","History/Religion/Philosophy","Columbia","1,430.00","26,908.00","European/Causasian-American",1,6,"Lexington, MA","2,173","","Looking for a serious relationship","Once a month","Twice a week","Academic (Law)","Lawyer",3,1,2,6,7,8,4,8,6,9,2,7,8,6,6,1,6,2,NA
246,TRUE,25,"biotechnology","Biological Sciences/Chemistry/Physics","SUNY Stony Brook","1,140.00","9,168.00","European/Causasian-American",7,1,"brooklyn, ny","11,234","41,476.00","Seemed like a fun night out","Almost never","Several times a year","scientist","Academic/Research",6,5,5,7,5,5,3,2,6,8,8,9,9,8,9,5,2,3,NA
247,TRUE,25,"Earth and Environmental Science","Biological Sciences/Chemistry/Physics","Fudan University, Shanghai, China","","","Asian/Pacific Islander/Asian-American",1,1,"Shanghai, China","200,065","","Seemed like a fun night out","Several times a year","Twice a month","Naturalist","Academic/Research",5,4,7,1,3,2,9,4,2,5,3,3,3,3,3,2,6,6,NA
248,TRUE,27,"Business","Business/Econ/Finance","Cornell","1,360.00","26,062.00","Other",1,1,"San Francisco","92,037","49,841.00","Seemed like a fun night out","Twice a month","Several times a week","Trader","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,6,NA
249,TRUE,33,"Finance","Business/Econ/Finance","Universidad Catolica de Chile","","","Other",2,7,"Chile","","","To meet new people","Once a week","Several times a week","Wall Street Economist","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,9,1,10,8,6,1,1,6,10,7,3,8,8,5,4,1,5,NA
250,TRUE,25,"Classics","English/Creative Writing/ Journalism","Amherst College","1,402.00","27,240.00","Other",1,1,"Toronto, London, India","","","Looking for a serious relationship","Twice a week","Several times a week","professor, poet/critic","Academic/Research",7,2,8,10,10,10,6,1,2,10,1,9,9,10,10,6,5,7,NA
251,TRUE,33,"Philosophy (Ph.D.)","History/Religion/Philosophy","Hebrew University","","","Other",2,2,"Israel","","","Other","Twice a month","Several times a week","Am not sure","Undecided",7,6,1,6,8,8,5,8,4,9,7,6,9,6,8,2,3,5,NA
252,FALSE,28,"Political Science","Political Science/International Affairs","Universidad Iberoamericana","","","Latino/Hispanic American",1,1,"Mexico","11,910","","Seemed like a fun night out","Several times a year","Twice a week","Professor","Academic/Research",4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9,2,10,NA
253,FALSE,33,"sociology","Social Science, Psychologist","Tokyo Woman's Christian University, Japan","","","Asian/Pacific Islander/Asian-American",1,1,"Japan","7,024","","To meet new people","Several times a year","Several times a year","researcher/academia","Academic/Research",5,3,5,8,10,10,6,1,6,10,7,7,10,7,7,7,3,7,NA
254,FALSE,22,"Philosophy and Physics","History/Religion/Philosophy","University of Maryland, and Oxford","1,250.00","13,413.00","European/Causasian-American",8,3,"Boulder, Colorado","80,304","37,240.00","To meet new people","Several times a year","Twice a week","academia","Academic/Research",8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8,6,NA
255,FALSE,26,"nutrition","Biological Sciences/Chemistry/Physics","UW Madison","1,210.00","12,900.00","Asian/Pacific Islander/Asian-American",3,1,"Maryland","21,701","36,594.00","Seemed like a fun night out","Almost never","Once a week","nutrition and dental","Doctor/Medicine",6,8,9,6,6,6,4,2,5,6,4,7,7,8,8,9,1,6,NA
256,FALSE,24,"Medicine","Medical Science, Pharmaceuticals, and Bio Tech","Harvard","1,400.00","26,019.00","Asian/Pacific Islander/Asian-American",6,5,"Northern Virginia","22,015","62,997.00","To meet new people","Several times a year","Twice a month","Physician","Doctor/Medicine",5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9,3,6,NA
257,FALSE,24,"Art Education","Education, Academia","Syracuse University","1,220.00","21,960.00","European/Causasian-American",5,6,"I am from NYC","10,023","46,608.00","To meet new people","Once a month","Several times a week","Art educator and Artist","Academic/Research",7,1,6,9,10,10,10,3,4,10,2,5,10,10,10,4,10,3,NA
258,FALSE,25,"MA Science Education","Education, Academia","University of Washington","1,155.00","13,258.00","Other",1,10,"Seattle","98,115","37,881.00","Seemed like a fun night out","Several times a year","Several times a week","Teacher","Academic/Research",9,6,7,7,8,3,10,4,1,10,3,8,5,2,6,6,2,6,NA
259,FALSE,25,"Genetics","Biological Sciences/Chemistry/Physics","Rice","1,410.00","17,125.00","European/Causasian-American",2,2,"Texas","77,546","48,944.00","To meet new people","Almost never","Several times a week","Scientist","Academic/Research",8,3,7,8,7,7,4,2,7,8,6,7,7,5,7,5,6,5,NA
260,FALSE,27,"Genetics","Biological Sciences/Chemistry/Physics","Smith College","1,260.00","24,742.00","Asian/Pacific Islander/Asian-American",4,4,"Malaysia, then Massachusetts","50,450","","To meet new people","Almost never","Once a week","Scientist/educator","Academic/Research",9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5,3,6,NA
261,FALSE,26,"biology","Biological Sciences/Chemistry/Physics","Brown University","1,400.00","27,395.00","Asian/Pacific Islander/Asian-American",1,4,"Katonah, NY (more recently, Boston)","10,536","77,112.00","Seemed like a fun night out","Almost never","Twice a week","scientific research for now but who knows","Academic/Research",6,4,3,9,9,8,3,5,8,9,2,9,9,9,9,4,6,3,NA
262,FALSE,29,"Psychology","Social Science, Psychologist","University of Warsaw","","","European/Causasian-American",1,10,"Warsaw, Poland","","","Other","Several times a year","Once a week","Who knows","Undecided",9,9,8,7,7,3,7,1,3,10,4,1,7,5,8,1,1,1,NA
263,FALSE,26,"Psychology","Social Science, Psychologist","Yale","1,450.00","26,100.00","Black/African American",9,10,"Brooklyn, NY","11,212","18,283.00","Seemed like a fun night out","Several times a year","Twice a week","Who knows","Undecided",1,1,1,5,7,7,7,1,3,9,4,7,7,7,8,9,6,1,NA
264,FALSE,26,"English","English/Creative Writing/ Journalism","Columbia University","1,430.00","26,908.00","European/Causasian-American",1,3,"Washington, D.C.","20,011","31,432.00","Seemed like a fun night out","Several times a year","Twice a week","College Professor","Academic/Research",7,1,7,5,7,8,6,1,5,9,7,4,8,2,6,2,1,3,NA
265,FALSE,32,"Law and English Literature (J.D./Ph.D.)","Law","Stanford","1,450.00","25,917.00","European/Causasian-American",3,3,"New York","10,538","73,073.00","Looking for a serious relationship","Once a month","Twice a week","Professor or Lawyer","Academic/Research",2,9,8,8,7,8,2,1,2,10,6,7,10,8,9,2,1,3,NA
266,FALSE,28,"french","Languages","colby college, waterville, me","1,330.00","34,290.00","European/Causasian-American",2,2,"new york city","","","To meet new people","Almost never","Once a week","undecided","Undecided",5,4,5,4,7,8,8,1,6,5,1,4,10,6,7,2,6,4,NA
267,FALSE,26,"Nutritiron","Biological Sciences/Chemistry/Physics","ChungShenMedicalUniversity(Taiwan)","","","Asian/Pacific Islander/Asian-American",2,2,"Taiwan","","","Seemed like a fun night out","Once a week","Once a week","dietician","Doctor/Medicine",4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10,2,4,NA
268,FALSE,24,"GS Postbacc PreMed","Medical Science, Pharmaceuticals, and Bio Tech","Yale","1,450.00","26,100.00","Latino/Hispanic American",1,1,"Texas","76,710","26,706.00","To say I did it","Several times a year","Several times a week","Medicine","Doctor/Medicine",8,6,6,5,4,3,6,5,5,8,4,5,5,4,4,4,4,5,NA
269,FALSE,24,"Art History","History/Religion/Philosophy","Wesleyan University","1,380.00","27,100.00","European/Causasian-American",4,5,"New Jersey","8,904","","To meet new people","Several times a year","Twice a week","professor","Academic/Research",4,1,8,8,8,10,7,3,1,10,3,6,6,6,9,4,2,6,NA
270,FALSE,23,"Biology","Biological Sciences/Chemistry/Physics","University of Toronto","","","Asian/Pacific Islander/Asian-American",2,4,"Toronto","","","To meet new people","Once a month","Several times a week","Researcher","Academic/Research",8,4,6,9,8,7,8,4,6,9,2,7,5,6,7,6,4,5,NA
271,FALSE,23,"Social Work","Social Work","Brandeis University","1,330.00","27,076.00","European/Causasian-American",10,9,"New York","10,543","50,060.00","To meet new people","Twice a month","Several times a week","Social Work","Social Work",8,7,10,9,10,10,5,5,6,7,7,9,9,9,8,9,5,8,NA
272,FALSE,25,"Social Work","Social Work","PACE University","1,030.00","17,030.00","European/Causasian-American",10,10,"New York","11,235","25,401.00","To meet new people","Twice a month","Several times a week","Social Work","Social Work",6,7,10,10,9,8,7,6,8,9,9,9,9,9,10,9,8,8,NA
273,TRUE,29,"chemistry","Biological Sciences/Chemistry/Physics","charles university, prague, czech republic","","","European/Causasian-American",8,4,"czech republic","","","To meet new people","Once a month","Twice a week","research position in pharmaceutical industry","Academic/Research",6,1,5,7,7,4,8,1,3,2,5,7,8,8,8,3,2,5,NA
274,TRUE,24,"Sociology","Social Science, Psychologist","UC Berkeley","1,309.00","15,162.00","Latino/Hispanic American",3,3,"Mexico","","","To get a date","Twice a month","Twice a week","academia","Academic/Research",3,3,4,7,6,5,4,5,1,10,7,6,8,9,10,8,7,6,NA
275,TRUE,21,"Operations Research","Engineering","Novosibirsk State University","","","European/Causasian-American",1,1,"Siberia","630,090","","To meet new people","Twice a month","Once a week","Investment Banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,1,10,6,7,7,4,6,5,10,1,9,7,7,9,5,9,6,NA
276,TRUE,26,"Molecular Biology","Biological Sciences/Chemistry/Physics","UC Berkeley","1,309.00","15,162.00","European/Causasian-American",7,3,"New Hope, PA","18,977","80,608.00","To meet new people","Twice a month","Several times a week","Academia","Academic/Research",6,2,8,9,8,9,2,3,6,9,1,4,7,6,7,2,2,4,NA
277,TRUE,25,"Genetics & Development","Biological Sciences/Chemistry/Physics","RPI","1,308.00","25,555.00","European/Causasian-American",1,1,"Connecticut","6,098","","Seemed like a fun night out","Almost never","Once a month","Professor","Academic/Research",10,6,10,5,8,8,10,5,3,8,2,7,8,6,6,1,2,5,NA
278,TRUE,32,"medical informatics","Engineering","umass","1,050.00","14,433.00","European/Causasian-American",1,1,"boston, ma","0","","Seemed like a fun night out","Once a week","Several times a week","research/academia","Academic/Research",8,1,5,9,9,9,9,5,8,9,5,7,9,9,9,5,1,8,NA
279,TRUE,25,"Biology","Biological Sciences/Chemistry/Physics","UNLV","","9,696.00","European/Causasian-American",7,1,"Las Vegas, Nevada","89,014","43,844.00","To get a date","Twice a month","Twice a week","Scientist","Academic/Research",7,1,6,5,2,3,5,3,4,9,6,3,8,1,2,1,1,7,NA
280,TRUE,25,"Biology","Biological Sciences/Chemistry/Physics","Columbia College","1,430.00","26,908.00","European/Causasian-American",2,1,"Budapest","7,620","","To get a date","Several times a year","Twice a week","Scientist","Academic/Research",8,1,5,5,6,5,5,4,2,10,2,7,10,7,8,2,2,5,NA
281,TRUE,27,"Sociology","Social Science, Psychologist","MSU, Russia","","","European/Causasian-American",2,5,"Russia","430,000","","Other","Once a month","Once a month","research","Academic/Research",4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3,9,2,NA
282,TRUE,23,"Electrical Engineering","Engineering","University of North Carolina at Charlotte","1,260.00","13,211.00","Black/African American",1,1,"UNCC","","","Seemed like a fun night out","Twice a month","Once a week","enterpreneur","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,10,10,5,4,4,4,7,8,9,5,7,7,7,10,5,1,5,NA
283,TRUE,27,"Electrical Engg.","Engineering","REC, Rourkela","","","Asian/Pacific Islander/Asian-American",1,1,"Boston","1,851","","Seemed like a fun night out","Twice a month","Twice a week","Industry CTO/CEO","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,6,6,6,4,4,8,6,6,8,1,5,3,3,7,2,7,5,NA
284,TRUE,27,"Business School","Business/Econ/Finance","Columbia Business School","1,430.00","","European/Causasian-American",1,5,"Iceland","0","","Seemed like a fun night out","Once a month","Twice a week","Film/Television","Creative Arts/Entertainment",9,2,5,7,7,9,8,1,5,9,5,5,9,8,9,8,5,7,NA
285,TRUE,24,"engineering","Engineering","tech school","","","Other",1,1,"International Student","10,025","","Looking for a serious relationship","Several times a year","Several times a year","finance or engineering","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,7,6,10,9,10,9,14,5,9,7,3,10,10,10,10,10,10,NA
286,TRUE,22,"Mathematics","Math","Queens College","1,100.00","11,360.00","European/Causasian-American",4,7,"Russia","125,438","","Seemed like a fun night out","Several times a year","Once a week","professor","Academic/Research",7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3,8,7,NA
287,TRUE,22,"International Politics","Political Science/International Affairs","Connecticut College","1,310.00","33,585.00","Asian/Pacific Islander/Asian-American",1,1,"Nepal","6,320","","Seemed like a fun night out","Almost never","Once a week","Writing","Creative Arts/Entertainment",2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,NA
288,TRUE,27,"Sociology","Social Science, Psychologist","Emory University","1,380.00","25,552.00","European/Causasian-American",3,5,"Washington, DC","21,044","53,196.00","Seemed like a fun night out","Several times a year","Once a week","professor","Academic/Research",9,5,3,8,5,5,6,4,4,9,2,6,7,5,7,2,2,5,NA
289,TRUE,28,"MBA / Master of International Affairs (SIPA)","Business/Econ/Finance","Harvey Mudd College (Physics)","1,460.00","23,187.00","Asian/Pacific Islander/Asian-American",1,2,"California","92,064","53,229.00","Seemed like a fun night out","Twice a month","Several times a week","Venture Capital/Consulting/Government","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,6,1,7,3,6,10,5,3,10,6,5,7,6,8,2,1,7,NA
290,TRUE,34,"genetics","Biological Sciences/Chemistry/Physics","University of Paris","","","European/Causasian-American",2,6,"Israel","","","To meet new people","Once a month","Twice a week","research","Academic/Research",7,1,8,7,7,4,3,2,1,10,1,3,5,9,10,2,5,5,NA
291,TRUE,27,"medicine and biochemistry","Biological Sciences/Chemistry/Physics","Harvard","1,400.00","26,019.00","Asian/Pacific Islander/Asian-American",5,5,"New Jersey","7,936","","Seemed like a fun night out","Once a week","Twice a week","doctor and entrepreneur","Doctor/Medicine",9,7,7,7,7,7,5,6,5,7,5,6,7,5,8,5,5,6,NA
292,TRUE,28,"International Affairs","Political Science/International Affairs","U of  Michigan","1,290.00","21,645.00","Black/African American",7,1,"New York City","10,009","25,786.00","Seemed like a fun night out","Twice a week","Several times a week","Int'l Business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,5,8,8,7,5,10,7,9,7,4,7,9,5,10,1,1,6,NA
293,TRUE,28,"Business (MBA)","Business/Econ/Finance","MIT","1,490.00","27,728.00","Latino/Hispanic American",3,7,"Northern New Jersey","7,512","","To meet new people","Once a month","Twice a week","Pharmaceuticals/Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6,4,6,NA
